publish_date,title,media_name
2010-05-18,"Hudson, Howard to play Mandelas",nypost.com
2010-06-01,Mandela's Daughter Visits Brazilian Team,nytimes.com
2010-06-04,Mandela Meets Bafana Bafana Ahead Of World Cup,nytimes.com
2010-06-04,Mandela to attend Cup opener and final,sfgate.com
2010-06-05,The Nelson Mandela World Cup,nytimes.com
2010-06-05,The Nelson Mandela World Cup,nytimes.com
2010-06-08,Mandela Could Make Brief Appearance At First Game,nytimes.com
2010-06-09,Mandela: World Cup a Top Event in Africa's History,nytimes.com
2010-06-08,Grandson: Mandela will make brief appearance,tampabay.com
2010-09-06,World Cup: South Africa side hopes to gain edge on Mexico with 'Mandela Magic',mercurynews.com
2010-06-10,Mandela Intends to Appear At World Cup Opener,nytimes.com
2010-06-09,South Africa waves the 'Mandela Magic' wand,latimes.com
2010-09-06,World Cup: South Africa side hopes to gain edge on Mexico with 'Mandela Magic',mercurynews.com
2010-06-09,Obama to Write Foreword for Mandela Book,nytimes.com
2010-06-11,Mandela relative killed after World Cup concert,sfgate.com
2010-06-11,Mandela's great-granddaughter killed after World Cup concert,washingtonpost.com
2010-11-06,Fergie shares a flirty moment with Nelson Mandela,twincities.com
2010-06-11,Mandela pulls out of World Cup opening ceremony after grandaughter’s death,nypost.com
2010-06-11,Nelson Mandela can't make World Cup but sends welcome message,csmonitor.com
2010-06-11,Mandela Great-Grandchild Killed in Crash,thedailybeast.com
2010-06-11,Fergie Shares a Flirty Moment With Nelson Mandela,newsmax.com
2010-06-11,Car crash kills great-granddaughter of South Africa's Nelson Mandela on eve of World Cup opening,cleveland.com
2010-06-11,Mandela to miss World Cup opening ceremony,upi.com
2010-06-11,Mandela pulls out of World Cup opening ceremony after grandaughter’s death,nypost.com
2010-06-10,Nelson Mandela's great-granddaughter Zenani killed in crash; driver charged with drunk-driving,nydailynews.com
2010-06-11,Mandela to Miss World Cup Opening Match After Grandchild Dies,wsj.com
2010-06-11,Mandela to Miss World Cup Opener,nytimes.com
2010-06-11,Mandela Relative Killed After World Cup Concert,foxnews.com
2010-06-10,Ronaldo Hands Portugal Shirt to Nelson Mandela,nytimes.com
2010-06-12,Relative driving in crash that killed Mandela's great-granddaughter after World Cup concert,foxnews.com
2010-06-12,Grandkid tragedy casts pall on Mandela triumph,nypost.com
2010-06-12,Mandela's great-granddaughter killed after World Cup concert,post-gazette.com
2010-06-12,"As World Cup begins, Nelson Mandela gathers family to grieve after great-granddaughter's death",nydailynews.com
2010-12-06,Mandela misses World Cup opening ceremony after great-granddaughter is killed,denverpost.com
2010-12-06,South Africans mourn crash death of Mandela's great-granddaughter,twincities.com
2010-06-12,Grandkid tragedy casts pall on Mandela triumph,nypost.com
2010-06-11,Mandela's great-granddaughter killed after World Cup concert,washingtonpost.com
2010-06-12,"John Travolta, wife Kelly Preston donate to Nelson Mandela Children's Fund in SAfrica visit",foxnews.com
2010-06-13,Mandela Foundation says family friend drove in crash that killed Mandela's great granddaughter,foxnews.com
2010-06-14,South Africa: Court Date in Death of Mandela Relative,nytimes.com
2010-06-17,Frail Mandela attends great-grandchild's funeral,latimes.com
2010-06-17,Nelson Mandela attends funeral of great-granddaughter,nypost.com
2010-06-17,Mandela Attends Great-Granddaughter’s Funeral,nytimes.com
2010-06-17,Mandela at Great-Granddaughter’s Funeral,nytimes.com
2010-06-17,Nelson Mandela attends funeral of great-granddaughter,nypost.com
2010-06-17,Nelson Mandela makes first public appearance during World Cup,latimes.com
2010-06-17,Frail Mandela attends great-grandchild's funeral,latimes.com
2010-06-18,Briefing: Mandela attends great-granddaughter's funeral,twincities.com
2010-06-17,Frail Mandela attends great-grandchild's funeral,latimes.com
2010-06-17,Frail Mandela attends great-grandchild's funeral,latimes.com
2010-06-17,Frail Mandela attends great-grandchild's funeral,latimes.com
2010-06-17,Frail Mandela attends great-grandchild's funeral,latimes.com
2010-06-17,Frail Mandela attends great-grandchild's funeral,latimes.com
2010-06-17,Frail Mandela attends great-grandchild's funeral,latimes.com
2010-06-17,Frail Mandela attends great-grandchild's funeral,latimes.com
2010-06-24,Former US President Clinton meets with Nelson Mandela in South Africa,foxnews.com
2010-06-25,Supreme Court should remember Mandela,sfgate.com
2010-06-29,Police Chief Not Ruling Out Mandela Appearance,nytimes.com
2010-07-02,Mandela Sends Message of Support to Ghana Team,nytimes.com
2010-07-03,Mandela Meets Ghana Team After Cup Defeat,nytimes.com
2010-07-08,Mandela may award World Cup trophy,stltoday.com
2010-08-07,Nelson Mandela Smells So Damn Good!,gawker.com
